Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
398,256,0.69922,0.17583,0.18750,0.18750,0.91725,0.91725
399,256,0.42578,0.10655,0.11328,0.11328,0.94805,0.94805
400,256,1.31250,0.32621,0.34766,0.34766,0.85502,0.85502
401,256,0.70703,0.17745,0.19922,0.19922,0.92263,0.92263
402,256,0.42578,0.10728,0.12500,0.12500,0.94785,0.94785
403,256,1.48828,0.37685,0.37500,0.37500,0.82564,0.82564
404,256,0.41016,0.10386,0.11719,0.11719,0.95392,0.95392
405,256,0.55859,0.13992,0.16797,0.16797,0.94448,0.94448
406,256,0.89453,0.22495,0.25000,0.25000,0.90961,0.90961
407,256,0.40625,0.10166,0.10547,0.10547,0.95555,0.95555
408,256,1.45312,0.36117,0.37500,0.37500,0.84571,0.84571
409,256,0.66406,0.16667,0.19531,0.19531,0.93147,0.93147
410,256,0.36719,0.09252,0.10547,0.10547,0.95711,0.95711
411,256,1.62109,0.41048,0.41016,0.41016,0.80667,0.80667
412,256,0.35156,0.08902,0.10547,0.10547,0.95740,0.95740
413,256,0.57422,0.14384,0.16797,0.16797,0.93954,0.93954
414,256,0.85156,0.21415,0.23047,0.23047,0.90409,0.90409
415,256,0.51953,0.13001,0.12500,0.12500,0.93280,0.93280
416,256,1.31250,0.32621,0.33203,0.33203,0.84689,0.84689
417,256,0.72266,0.18137,0.21094,0.21094,0.92115,0.92115
418,256,0.65625,0.16535,0.17188,0.17188,0.90469,0.90469
419,256,1.74609,0.44214,0.46094,0.46094,0.77200,0.77200
420,256,0.33203,0.08408,0.09375,0.09375,0.96763,0.96763
421,256,0.48047,0.12035,0.14453,0.14453,0.95342,0.95342
422,256,0.87891,0.22102,0.23438,0.23438,0.90257,0.90257
423,256,0.30469,0.07625,0.08203,0.08203,0.96805,0.96805
424,256,1.38281,0.34369,0.35938,0.35938,0.84500,0.84500
425,256,0.65234,0.16373,0.18359,0.18359,0.92899,0.92899
426,256,0.43359,0.10925,0.12109,0.12109,0.95247,0.95247
427,256,1.66016,0.42038,0.42578,0.42578,0.78363,0.78363
428,256,0.41406,0.10485,0.11328,0.11328,0.95364,0.95364
429,256,0.50000,0.12524,0.15234,0.15234,0.94794,0.94794
430,256,0.92578,0.23281,0.24609,0.24609,0.89007,0.89007
431,256,0.44531,0.11144,0.12500,0.12500,0.95153,0.95153
432,256,1.41016,0.35049,0.36719,0.36719,0.84902,0.84902
433,256,1.06250,0.26667,0.28906,0.28906,0.89431,0.89431
434,256,0.33594,0.08465,0.09766,0.09766,0.96141,0.96141
435,256,1.44922,0.36696,0.37109,0.37109,0.83493,0.83493
436,256,0.36328,0.09199,0.09375,0.09375,0.95511,0.95511
437,256,0.43750,0.10959,0.13281,0.13281,0.95766,0.95766
438,256,0.85156,0.21415,0.22656,0.22656,0.91265,0.91265
439,256,0.51172,0.12805,0.13281,0.13281,0.94367,0.94367
440,256,1.45703,0.36214,0.37500,0.37500,0.83529,0.83529
441,256,0.74219,0.18627,0.20703,0.20703,0.92315,0.92315
442,256,0.42969,0.10827,0.12109,0.12109,0.94355,0.94355
443,256,1.49609,0.37883,0.38281,0.38281,0.82244,0.82244
444,256,0.37891,0.09594,0.09766,0.09766,0.94631,0.94631
445,256,0.46875,0.11742,0.13672,0.13672,0.95216,0.95216
446,256,0.80078,0.20138,0.21484,0.21484,0.90475,0.90475
447,256,0.29297,0.07331,0.07422,0.07422,0.96657,0.96657
448,256,1.40234,0.34854,0.36328,0.36328,0.84370,0.84370
449,256,0.60156,0.15098,0.17578,0.17578,0.92748,0.92748
450,256,0.47266,0.11909,0.12891,0.12891,0.93826,0.93826
451,256,1.48438,0.37587,0.37891,0.37891,0.81975,0.81975
452,256,0.46094,0.11672,0.12891,0.12891,0.93708,0.93708
453,256,0.46875,0.11742,0.14062,0.14062,0.95285,0.95285
454,256,0.84375,0.21218,0.22266,0.22266,0.90116,0.90116
455,256,0.36328,0.09091,0.09375,0.09375,0.94945,0.94945
456,256,1.53125,0.38058,0.40234,0.40234,0.82070,0.82070
457,256,0.48828,0.12255,0.13672,0.13672,0.93244,0.93244
458,256,0.40625,0.10236,0.11719,0.11719,0.95038,0.95038
459,256,1.56641,0.39664,0.41016,0.41016,0.80429,0.80429
460,256,0.37109,0.09397,0.10938,0.10938,0.95586,0.95586
461,256,0.44922,0.11252,0.13281,0.13281,0.95475,0.95475
462,256,0.81250,0.20432,0.21484,0.21484,0.90712,0.90712
463,256,0.32812,0.08211,0.08984,0.08984,0.96379,0.96379
464,256,1.48828,0.36990,0.39844,0.39844,0.82148,0.82148
465,256,0.83594,0.20980,0.23438,0.23438,0.90323,0.90323
466,256,0.36719,0.09252,0.10938,0.10938,0.95812,0.95812
467,256,1.52344,0.38576,0.39844,0.39844,0.80940,0.80940
468,256,0.62500,0.15826,0.17188,0.17188,0.91327,0.91327
469,256,0.55469,0.13894,0.16797,0.16797,0.94457,0.94457
470,256,0.80078,0.20138,0.22266,0.22266,0.90889,0.90889
471,256,0.37891,0.09482,0.10156,0.10156,0.96048,0.96048
472,256,1.46484,0.36408,0.37891,0.37891,0.85246,0.85246
473,256,0.41406,0.10392,0.12891,0.12891,0.95394,0.95394
474,256,0.26953,0.06791,0.08203,0.08203,0.96756,0.96756
475,256,1.52734,0.38675,0.39453,0.39453,0.81332,0.81332
476,256,0.57031,0.14441,0.16406,0.16406,0.90629,0.90629
477,256,0.46484,0.11644,0.13281,0.13281,0.95648,0.95648
478,256,0.64844,0.16306,0.17188,0.17188,0.92882,0.92882
479,256,0.35156,0.08798,0.09375,0.09375,0.95202,0.95202
480,256,1.39844,0.34757,0.37109,0.37109,0.84459,0.84459
481,256,0.87891,0.22059,0.26172,0.26172,0.89340,0.89340
482,256,0.30469,0.07677,0.09375,0.09375,0.95798,0.95798
483,256,1.51562,0.38378,0.38281,0.38281,0.82863,0.82863
484,256,0.39062,0.09891,0.10547,0.10547,0.94183,0.94183
485,256,0.58984,0.14775,0.17188,0.17188,0.92843,0.92843
486,256,0.81641,0.20530,0.22266,0.22266,0.91094,0.91094
487,256,0.37891,0.09482,0.10547,0.10547,0.94662,0.94662
488,256,1.63281,0.40583,0.42188,0.42188,0.80396,0.80396
489,256,0.44141,0.11078,0.13672,0.13672,0.94669,0.94669
490,256,0.37891,0.09547,0.10938,0.10938,0.96351,0.96351
491,256,1.32422,0.33531,0.32812,0.32812,0.84615,0.84615
492,256,0.52344,0.13254,0.14062,0.14062,0.93863,0.93863
493,256,0.60938,0.15264,0.17969,0.17969,0.93006,0.93006
494,256,0.82422,0.20727,0.21484,0.21484,0.90365,0.90365
495,256,0.37891,0.09482,0.10156,0.10156,0.96109,0.96109
496,256,1.59375,0.39612,0.41016,0.41016,0.80672,0.80672
497,256,0.96875,0.24314,0.27344,0.27344,0.88996,0.88996
498,256,0.41016,0.10335,0.11719,0.11719,0.95451,0.95451
499,256,1.58203,0.40059,0.40625,0.40625,0.79916,0.79916
500,256,0.39453,0.09990,0.11328,0.11328,0.95896,0.95896
501,256,0.53516,0.13405,0.16406,0.16406,0.94322,0.94322
502,256,0.79297,0.19941,0.21094,0.21094,0.90557,0.90557
503,256,0.26953,0.06745,0.07031,0.07031,0.97390,0.97390
504,256,1.39844,0.34757,0.37500,0.37500,0.83358,0.83358
505,256,0.53125,0.13333,0.15625,0.15625,0.93934,0.93934
506,256,0.37891,0.09547,0.10547,0.10547,0.96465,0.96465
507,256,1.48828,0.37685,0.39453,0.39453,0.80634,0.80634
508,256,0.41797,0.10584,0.11719,0.11719,0.95950,0.95950
509,256,0.62500,0.15656,0.18359,0.18359,0.93074,0.93074
510,256,0.79297,0.19941,0.21484,0.21484,0.90458,0.90458
511,256,0.33984,0.08504,0.08984,0.08984,0.96544,0.96544
512,256,1.42969,0.35534,0.37891,0.37891,0.83873,0.83873
513,256,0.55859,0.14020,0.16797,0.16797,0.93940,0.93940
514,256,0.32031,0.08071,0.09766,0.09766,0.96733,0.96733
515,256,1.54688,0.39169,0.39844,0.39844,0.81756,0.81756
516,256,0.42188,0.10682,0.12500,0.12500,0.95772,0.95772
517,256,0.57812,0.14481,0.17188,0.17188,0.93882,0.93882
518,256,1.13281,0.28487,0.29297,0.29297,0.86583,0.86583
519,256,0.27734,0.06940,0.07422,0.07422,0.97126,0.97126
520,256,1.50000,0.37282,0.40625,0.40625,0.82935,0.82935
521,256,0.45312,0.11373,0.14453,0.14453,0.94952,0.94952
522,256,0.42969,0.10827,0.12500,0.12500,0.95452,0.95452
523,256,1.65625,0.41939,0.42969,0.42969,0.80123,0.80123
524,256,0.48828,0.12364,0.14062,0.14062,0.94282,0.94282
525,256,0.50000,0.12524,0.14844,0.14844,0.95013,0.95013
526,256,0.79297,0.19941,0.21875,0.21875,0.90867,0.90867
527,256,0.23047,0.05767,0.05859,0.05859,0.97671,0.97671
528,256,1.32422,0.32913,0.34375,0.34375,0.85426,0.85426
529,256,0.51953,0.13039,0.16016,0.16016,0.94419,0.94419
530,256,0.42969,0.10827,0.12109,0.12109,0.95459,0.95459
531,256,1.52734,0.38675,0.39844,0.39844,0.81693,0.81693
532,256,0.49609,0.12562,0.13672,0.13672,0.94043,0.94043
533,256,0.55078,0.13796,0.16406,0.16406,0.93980,0.93980
534,256,0.71094,0.17878,0.19531,0.19531,0.92140,0.92140
535,256,0.24609,0.06158,0.06250,0.06250,0.97870,0.97870
536,256,1.47656,0.36699,0.38672,0.38672,0.82796,0.82796
537,256,0.64453,0.16176,0.18359,0.18359,0.92746,0.92746
538,256,0.40234,0.10138,0.11719,0.11719,0.95094,0.95094
539,256,1.54297,0.39070,0.39453,0.39453,0.81088,0.81088
540,256,0.46094,0.11672,0.13672,0.13672,0.93944,0.93944
541,256,0.46484,0.11644,0.13672,0.13672,0.95726,0.95726
542,256,0.67578,0.16994,0.17188,0.17188,0.91879,0.91879
543,256,0.47266,0.11828,0.12109,0.12109,0.95564,0.95564
544,256,1.44141,0.35825,0.37891,0.37891,0.83874,0.83874
545,256,0.26562,0.06667,0.07812,0.07812,0.96814,0.96814
546,256,0.43359,0.10925,0.12500,0.12500,0.95527,0.95527
547,256,1.53906,0.38971,0.39062,0.39062,0.82600,0.82600
548,256,0.50391,0.12760,0.14453,0.14453,0.93630,0.93630
549,256,0.56250,0.14090,0.16797,0.16797,0.93459,0.93459
550,256,0.68359,0.17191,0.17578,0.17578,0.92329,0.92329
551,256,0.43750,0.10948,0.11328,0.11328,0.95763,0.95763
552,256,1.50000,0.37282,0.39844,0.39844,0.83261,0.83261
553,256,0.39453,0.09902,0.11328,0.11328,0.95665,0.95665
554,256,0.39453,0.09941,0.11328,0.11328,0.95638,0.95638
555,256,1.39062,0.35213,0.36328,0.36328,0.82936,0.82936
556,256,0.32812,0.08309,0.08984,0.08984,0.96481,0.96481
557,256,0.50781,0.12720,0.15625,0.15625,0.94789,0.94789
558,256,0.84375,0.21218,0.23438,0.23438,0.90193,0.90193
559,256,0.46094,0.11535,0.12500,0.12500,0.94536,0.94536
560,256,1.44922,0.36019,0.38281,0.38281,0.83216,0.83216
561,256,0.46094,0.11569,0.14844,0.14844,0.95063,0.95063
562,256,0.48828,0.12303,0.14062,0.14062,0.94018,0.94018
563,256,1.53906,0.38971,0.39453,0.39453,0.80928,0.80928
564,256,0.41797,0.10584,0.12891,0.12891,0.93762,0.93762
565,256,0.48438,0.12133,0.14844,0.14844,0.94982,0.94982
566,256,0.69922,0.17583,0.18750,0.18750,0.92156,0.92156
