Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
92,256,0.43750,0.11078,0.12891,0.12891,0.93264,0.93264
93,256,0.66016,0.16536,0.18750,0.18750,0.93346,0.93346
94,256,0.85938,0.21611,0.23438,0.23438,0.90844,0.90844
95,256,0.43359,0.10850,0.12109,0.12109,0.94988,0.94988
96,256,1.43750,0.35728,0.37891,0.37891,0.83507,0.83507
97,256,0.62500,0.15686,0.18359,0.18359,0.93618,0.93618
98,256,0.41016,0.10335,0.11719,0.11719,0.95716,0.95716
99,256,1.43359,0.36301,0.37500,0.37500,0.82150,0.82150
100,256,0.39453,0.09990,0.10938,0.10938,0.95004,0.95004
101,256,0.71484,0.17906,0.21484,0.21484,0.91252,0.91252
102,256,0.77734,0.19548,0.20312,0.20312,0.90970,0.90970
103,256,0.37891,0.09482,0.10156,0.10156,0.95677,0.95677
104,256,1.44922,0.36019,0.37891,0.37891,0.83686,0.83686
105,256,0.61328,0.15392,0.19141,0.19141,0.93512,0.93512
106,256,0.52344,0.13189,0.15234,0.15234,0.93710,0.93710
107,256,1.52344,0.38576,0.38672,0.38672,0.81343,0.81343
108,256,0.48047,0.12166,0.14062,0.14062,0.92915,0.92915
109,256,0.57031,0.14286,0.16406,0.16406,0.94200,0.94200
110,256,0.69531,0.17485,0.17969,0.17969,0.92004,0.92004
111,256,0.42578,0.10655,0.11719,0.11719,0.95653,0.95653
112,256,1.54297,0.38350,0.39453,0.39453,0.80543,0.80543
113,256,0.87500,0.21961,0.23438,0.23438,0.90473,0.90473
114,256,0.32031,0.08071,0.09766,0.09766,0.96783,0.96783
115,256,1.66797,0.42235,0.42578,0.42578,0.81936,0.81936
116,256,0.32422,0.08210,0.09375,0.09375,0.96152,0.96152
117,256,0.62891,0.15753,0.18750,0.18750,0.92508,0.92508
118,256,0.73047,0.18369,0.19141,0.19141,0.91263,0.91263
119,256,0.38281,0.09580,0.10156,0.10156,0.96118,0.96118
120,256,1.48438,0.36893,0.39453,0.39453,0.83854,0.83854
121,256,0.52734,0.13235,0.14844,0.14844,0.94417,0.94417
122,256,0.52734,0.13287,0.15234,0.15234,0.93977,0.93977
123,256,1.53516,0.38872,0.39453,0.39453,0.83364,0.83364
124,256,0.55078,0.13947,0.15234,0.15234,0.93476,0.93476
125,256,0.56250,0.14090,0.16797,0.16797,0.93606,0.93606
126,256,0.86719,0.21807,0.22266,0.22266,0.90154,0.90154
127,256,0.48438,0.12121,0.13281,0.13281,0.94097,0.94097
128,256,1.33203,0.33107,0.35156,0.35156,0.85440,0.85440
129,256,0.66016,0.16569,0.17969,0.17969,0.92558,0.92558
130,256,0.32031,0.08071,0.09375,0.09375,0.96712,0.96712
131,256,1.46094,0.36993,0.36719,0.36719,0.83178,0.83178
132,256,0.51953,0.13155,0.14844,0.14844,0.93274,0.93274
133,256,0.53125,0.13307,0.15234,0.15234,0.94539,0.94539
134,256,0.65625,0.16503,0.16406,0.16406,0.92618,0.92618
135,256,0.34766,0.08700,0.08984,0.08984,0.96287,0.96287
136,256,1.46875,0.36505,0.39062,0.39062,0.82820,0.82820
137,256,0.65234,0.16373,0.17969,0.17969,0.92295,0.92295
138,256,0.41016,0.10335,0.12109,0.12109,0.95574,0.95574
139,256,1.53906,0.38971,0.39453,0.39453,0.82637,0.82637
140,256,0.51562,0.13056,0.13672,0.13672,0.93703,0.93703
141,256,0.52344,0.13112,0.15625,0.15625,0.94515,0.94515
142,256,0.75781,0.19057,0.19922,0.19922,0.91220,0.91220
143,256,0.29688,0.07429,0.07422,0.07422,0.97162,0.97162
144,256,1.57031,0.39029,0.40234,0.40234,0.81389,0.81389
145,256,0.46094,0.11569,0.13672,0.13672,0.94939,0.94939
146,256,0.41797,0.10531,0.12109,0.12109,0.95513,0.95513
147,256,1.65625,0.41939,0.43359,0.43359,0.79949,0.79949
148,256,0.36328,0.09199,0.10547,0.10547,0.96127,0.96127
149,256,0.64453,0.16145,0.18750,0.18750,0.93017,0.93017
150,256,0.79297,0.19941,0.21094,0.21094,0.91999,0.91999
151,256,0.50000,0.12512,0.13281,0.13281,0.94318,0.94318
152,256,1.35547,0.33689,0.35156,0.35156,0.85268,0.85268
153,256,0.39062,0.09804,0.10938,0.10938,0.94939,0.94939
154,256,0.36719,0.09252,0.10547,0.10547,0.96271,0.96271
155,256,1.57422,0.39862,0.40234,0.40234,0.81435,0.81435
156,256,0.33203,0.08408,0.08594,0.08594,0.95974,0.95974
157,256,0.50781,0.12720,0.15625,0.15625,0.94796,0.94796
158,256,0.98438,0.24754,0.26562,0.26562,0.87698,0.87698
159,256,0.25000,0.06256,0.06641,0.06641,0.97537,0.97537
160,256,1.50781,0.37476,0.39062,0.39062,0.81450,0.81450
161,256,0.63281,0.15882,0.20703,0.20703,0.93872,0.93872
162,256,0.32812,0.08268,0.10156,0.10156,0.96519,0.96519
163,256,1.57812,0.39960,0.40234,0.40234,0.79863,0.79863
164,256,0.33203,0.08408,0.08984,0.08984,0.95819,0.95819
165,256,0.60938,0.15264,0.17188,0.17188,0.94102,0.94102
166,256,0.61328,0.15422,0.15625,0.15625,0.93489,0.93489
167,256,0.23438,0.05865,0.06250,0.06250,0.97522,0.97522
168,256,1.52344,0.37864,0.39453,0.39453,0.82183,0.82183
169,256,0.22656,0.05686,0.06250,0.06250,0.97413,0.97413
170,256,0.34766,0.08760,0.10156,0.10156,0.96334,0.96334
171,256,1.69922,0.43027,0.42969,0.42969,0.77665,0.77665
172,256,0.36719,0.09298,0.09375,0.09375,0.96517,0.96517
173,256,0.63672,0.15949,0.18750,0.18750,0.93087,0.93087
174,256,0.73828,0.18566,0.18359,0.18359,0.91487,0.91487
175,256,0.28125,0.07038,0.07422,0.07422,0.96916,0.96916
176,256,1.46875,0.36505,0.37891,0.37891,0.83121,0.83121
